category,level,promptText,requiresPartner,timed,timerSeconds
Truth,1,"What’s your go-to guilty pleasure snack?",false,false,0
Truth,1,"Who was your first crush, and how did it happen?",false,false,0
Truth,1,"What childish habit do you still enjoy?",false,false,0
Truth,1,"Have you ever fallen in love at first sight?",false,false,0
Truth,1,"What’s the last lie you told, even if it was small?",false,false,0
Truth,1,"Do you prefer giving or receiving compliments?",false,false,0
Truth,1,"What’s one secret hobby you have?",false,false,0
Truth,1,"Have you ever had a crush on a friend’s sibling?",false,false,0
Truth,1,"What’s something silly you’re afraid of?",false,false,0
Truth,1,"What’s your favorite comfort food for bad days?",false,false,0
Truth,1,"If you had to pick, which would you give up: your phone or TV?",false,false,0
Truth,1,"Who’s the most famous person you’ve ever met or seen in person?",false,false,0
Truth,1,"What’s the funniest thing you believed as a child?",false,false,0
Truth,1,"Have you ever danced alone in public?",false,false,0
Truth,1,"Do you sing in the shower? What’s your favorite song to belt out?",false,false,0
Truth,1,"Would you rather spend a night out or a cozy night in?",false,false,0
Truth,1,"What’s the strangest dream you remember vividly?",false,false,0
Truth,1,"Have you ever used a cheesy pick-up line on someone?",false,false,0
Truth,1,"What’s your favorite romantic comedy movie?",false,false,0
Truth,1,"What’s the weirdest compliment you’ve ever received?",false,false,0
Truth,2,"What’s the most awkward date you’ve ever been on?",false,false,0
Truth,2,"Have you ever kissed someone and regretted it afterward?",false,false,0
Truth,2,"What’s your favorite part of foreplay, if you’re comfortable sharing?",false,false,0
Truth,2,"Do you have a hidden fetish you find intriguing?",false,false,0
Truth,2,"What’s the most spontaneous thing you’ve done with a partner?",false,false,0
Truth,2,"Have you ever been caught in a compromising position?",false,false,0
Truth,2,"What’s the biggest turn-on in a potential partner?",false,false,0
Truth,2,"If you had 24 hours to do anything sexually adventurous, what would it be?",false,false,0
Truth,2,"Have you ever pretended to like something to impress someone you liked?",false,false,0
Truth,2,"What’s the most risqué outfit you’ve worn on a night out?",false,false,0
Truth,2,"Have you ever sent a naughty text to the wrong person?",false,false,0
Truth,2,"Would you ever consider a threesome if everyone consented?",false,false,0
Truth,2,"What’s the wildest thing you’ve done while tipsy?",false,false,0
Truth,2,"Have you ever fantasized about someone in this room?",false,false,0
Truth,2,"What’s your favorite type of lingerie or underwear to see on a partner?",false,false,0
Truth,2,"Have you ever role-played in bed? If so, what scenario?",false,false,0
Truth,2,"What’s your biggest pet peeve in the bedroom?",false,false,0
Truth,2,"Have you ever tried scheduling intimate time or do you prefer spontaneity?",false,false,0
Truth,2,"If you could only do one position forever, which would it be?",false,false,0
Truth,2,"What’s the hottest thing someone’s said to you during intimacy?",false,false,0
Truth,3,"Have you ever had a friend with benefits? How did it end?",false,false,0
Truth,3,"What’s a fantasy you’ve had about someone you shouldn’t?",false,false,0
Truth,3,"What’s the kinkiest thing you’re proud to admit trying?",false,false,0
Truth,3,"Have you ever used toys with a partner? Did you enjoy it?",false,false,0
Truth,3,"What’s the most public place you’ve been sexual in?",false,false,0
Truth,3,"Have you ever done anything with the same sex out of curiosity?",false,false,0
Truth,3,"What’s your favorite type of dirty talk, if any?",false,false,0
Truth,3,"Do you like being more dominant or submissive?",false,false,0
Truth,3,"What’s a fetish that intrigues you but you haven’t tried yet?",false,false,0
Truth,3,"Ever fantasized about group sex or swapping partners?",false,false,0
Truth,3,"Have you ever recorded yourself or your partner during intimacy?",false,false,0
Truth,3,"What’s the naughtiest thing you’ve done at a party?",false,false,0
Truth,3,"Have you ever worn something specifically to tease a partner?",false,false,0
Truth,3,"Do you prefer quickies or long sessions?",false,false,0
Truth,3,"If you could be with anyone in the world for one night, who’d it be?",false,false,0
Truth,3,"What’s something sexual you used to think was taboo but now enjoy?",false,false,0
Truth,3,"Have you ever had a fling with someone you barely knew?",false,false,0
Truth,3,"What’s the most embarrassing sound you’ve made during sex?",false,false,0
Truth,3,"Have you ever had a vacation romance? Details?",false,false,0
Truth,3,"Would you join a lifestyle club if you had the chance?",false,false,0
Truth,4,"What’s your biggest fantasy you haven’t yet acted on?",false,false,0
Truth,4,"Have you ever been to a sex party or swinger’s event?",false,false,0
Truth,4,"If you could invite one extra person into your bedroom, who’d it be?",false,false,0
Truth,4,"What’s the wildest costume or outfit you’ve worn for sex?",false,false,0
Truth,4,"How far have you gone in a public place without getting caught?",false,false,0
Truth,4,"Have you ever tried role reversal or pegging (if relevant)?",false,false,0
Truth,4,"Do you prefer watching or being watched (if you had to choose)?",false,false,0
Truth,4,"What’s the most extreme kink you’ve tried and liked?",false,false,0
Truth,4,"Have you ever shared an intimate photo on purpose? Why?",false,false,0
Truth,4,"If you could have one pass to do anything sexual with no judgment, what?",false,false,0
Truth,4,"Have you ever considered hooking up with more than two people at once?",false,false,0
Truth,4,"Would you ever sign up for an adult film if guaranteed anonymity?",false,false,0
Truth,4,"If you had to do it in front of an audience, would you? Explain.",false,false,0
Truth,4,"Have you ever used food or toppings during foreplay?",false,false,0
Truth,4,"What’s your favorite porn genre or scenario, if you watch any?",false,false,0
Truth,4,"Have you ever tried a sex position that scared you but ended up enjoying?",false,false,0
Truth,4,"What’s the longest session you’ve had, and how did it start?",false,false,0
Truth,4,"Have you ever had sex in a moving vehicle? Details?",false,false,0
Truth,4,"What’s your limit when it comes to pain or rough play?",false,false,0
Truth,4,"Would you let your partner watch you with someone else if you trusted them?",false,false,0
Truth,5,"What’s the most explicit thing you’ve done with multiple partners?",false,false,0
Truth,5,"Have you participated in any group sex scenario? How was it?",false,false,0
Truth,5,"Would you let your partner take you to a dark room for ‘alone time’ at a party?",false,false,0
Truth,5,"What’s the raunchiest role-play you’d consider doing soon?",false,false,0
Truth,5,"Have you used restraints or tried bondage? Did it push your limits?",false,false,0
Truth,5,"What’s the most daring place you’ve ever had sex (like an elevator)?",false,false,0
Truth,5,"Would you let your partner share your nude pics with close friends for a reaction (consensually)?",false,false,0
Truth,5,"If you could watch any two people here get it on, who and why?",false,false,0
Truth,5,"Would you ever consider being in an open relationship or poly triad?",false,false,0
Truth,5,"What’s a hardcore kink you want to try but haven’t found the courage?",false,false,0
Truth,5,"Ever let someone else watch you have sex in the same room?",false,false,0
Truth,5,"Have you ever been to a nude beach or resort? How wild did it get?",false,false,0
Truth,5,"If your partner wanted an orgy for their birthday, would you do it?",false,false,0
Truth,5,"What’s the filthiest thing you’ve done in a hotel room?",false,false,0
Truth,5,"Would you do a live webcam show for strangers if you were paid enough?",false,false,0
Truth,5,"Have you ever swapped partners with another couple?",false,false,0
Truth,5,"Would you let your partner watch you do it with their best friend if all consented?",false,false,0
Truth,5,"What’s your biggest taboo fantasy that you still keep secret from most?",false,false,0
Truth,5,"Have you ever had sex in front of a window or balcony, hoping to be seen?",false,false,0
Truth,5,"If everyone here was game, would you participate in a group session tonight?",false,false,0
Dare,1,"Do a silly dance for 10 seconds in the center of the room.",false,true,10
Dare,1,"Let someone tickle you for 15 seconds.",true,true,15
Dare,1,"Sing your favorite TV theme song out loud.",false,true,20
Dare,1,"Balance a book on your head while walking across the room.",false,false,0
Dare,1,"Give a 10-second shoulder massage to {partner}.",true,true,10
Dare,1,"Pretend to be a cat and meow for 15 seconds.",false,true,15
Dare,1,"Use a funny pick-up line on everyone present.",false,false,0
Dare,1,"Swap seats with the person next to you while crawling under the table.",false,false,0
Dare,1,"Imitate a cartoon character’s voice for 10 seconds.",false,true,10
Dare,1,"Wear your socks on your hands for 2 turns.",false,false,0
Dare,1,"Allow {partner} to fix your hair or outfit in a silly way.",true,false,0
Dare,1,"Recite the alphabet backward, skipping any letter you forget.",false,false,0
Dare,1,"Create a goofy handshake with {partner} that you must use all night.",true,false,0
Dare,1,"Impersonate the last celebrity you saw on TV for 15 seconds.",false,true,15
Dare,1,"Share a 30-second slow dance with {partner}.",true,true,30
Dare,1,"Let {partner} rename you for the next 2 rounds.",true,false,0
Dare,1,"Do 5 squats or push-ups (your choice).",false,false,0
Dare,1,"Let {partner} draw a simple shape on your cheek with lipstick.",true,false,0
Dare,1,"Give one compliment to every player in the circle.",false,false,0
Dare,1,"Act like a monkey for 10 seconds, including sounds.",false,true,10
Dare,2,"Send a flirty emoji to {partner}’s phone right now.",true,false,0
Dare,2,"Perform a sexy walk across the room as if it’s a runway.",false,false,0
Dare,2,"Exchange shirts with {partner} for the next 10 minutes, if consenting.",true,false,0
Dare,2,"Give {partner} a 20-second foot massage.",true,true,20
